"","tract","pop","pop_den","med_age","p_kids","p_seniors","p_female","p_white","p_black","p_some_college","med_hh_inc","p_poverty","p_unemp","p_working","X","Y"
"1",533500,1029,2.17669371842934e-09,40.5,20.6025267249757,19.2419825072886,55.1992225461613,0,98.9310009718173,31.8758815232722,22417,41.1078717201166,19.6675900277008,60.1554907677357,-83.1306,42.3626
"2",537600,3839,4.03916474298509e-09,37.3,27.6895024746028,14.6652774159937,53.4253711904142,1.95363375879135,94.8945037770253,41.1313131313131,28508,33.9464430619421,11.2982456140351,57.6452201094035,-83.1934,42.4137
"3",507400,2564,2.06841036898377e-09,43.2,14.5085803432137,12.01248049922,46.8408736349454,1.67706708268331,94.0717628705148,38.8185654008439,37065,26.5210608424337,20.7836456558773,73.4789391575663,-83.0915,42.4327
"4",541100,2752,1.92200310403641e-09,33.6,25.0726744186047,10.6831395348837,56.3226744186046,4.94186046511628,94.1860465116279,45.6129807692308,18750,56.5974796145293,37.7208480565371,64.2441860465116,-83.2429,42.4274
"5",535300,4270,2.21558375561283e-09,30.3,28.8992974238876,12.3653395784543,56.1826697892272,2.08430913348946,96.6042154566745,34.2923794712286,31848,32.7408119144847,19.2972350230415,58.7353629976581,-83.1955,42.369
"6",541400,2733,1.07850332534836e-09,39.8,29.3084522502744,14.7457006952067,46.176362971094,13.9041346505671,85.2542993047933,39.3422655298417,29964,36.6906474820144,28.8314176245211,55.9458470545189,-83.2601,42.4221
"7",546900,1123,9.75374731524088e-10,34.6,30.2760463045414,9.43900267141585,54.7640249332146,0,98.4861976847729,42.1212121212121,35139,30.4426377597109,20.9195402298851,60.2849510240427,-83.2182,42.3735
"8",545200,2935,2.33951799515752e-09,35,24.5655877342419,9.19931856899489,52.7427597955707,0.647359454855196,98.2282793867121,34.2842323651452,29569,40.954003407155,10.1071975497703,66.2350936967632,-83.2144,42.3689
"9",535200,2217,1.5766114715993e-09,40.8,24.7631935047361,14.2083897158322,49.2106450157871,3.47316193053676,94.0911141181777,29.6322999279019,19222,46.2375339981868,7.84061696658098,61.0284167794317,-83.18,42.3753
"10",539100,2035,3.2693432333095e-09,33.9,25.3071253071253,10.6633906633907,54.9385749385749,0.491400491400491,94.7911547911548,41.1330049261084,21855,37.5429975429975,20.7631874298541,64.029484029484,-83.1703,42.44
"11",543400,3272,3.080632739293e-09,39,26.9865525672372,11.5220048899756,47.5244498777506,3.05623471882641,89.8227383863081,37.6256582096697,32045,31.1124694376528,17.7004538577912,61.4914425427873,-83.238,42.397
"12",513700,3645,1.09543073687605e-09,32.7,32.0713305898491,14.5953360768176,53.8271604938272,3.18244170096022,93.7997256515775,40.6629318394024,21869,38.1386357359845,13.1135531135531,53.3333333333333,-82.9502,42.3684
"13",536600,2749,1.49129527449241e-09,45.7,14.005092761004,22.9901782466351,46.3441251364132,0,98.7268097489996,25.9134615384615,27639,29.2143120619698,34.2883548983364,63.0047289923609,-83.1574,42.3939
"14",516500,1709,1.27653177935052e-09,34.7,9.71328262141603,9.71328262141603,50.7899356348742,29.3739028671738,60.2106495026331,24.2888402625821,48429,33.703920421299,18.9773844641101,80.5734347571679,-83.0192,42.338
