"","PdId","tract","pop","pop_den","med_age","p_kids","p_seniors","p_female","p_white","p_black","p_some_college","med_hh_inc","p_poverty","p_unemp","p_working","X","Y"
"1",16091903228160,22903,3148,1.01672268655795e-08,35.5,15.2477763659466,9.81575603557815,51.5883100381194,30.0190597204574,2.12833545108005,28.6793953858393,80972,11.1681643132221,4.58481915435558,74.9364675984752,-122.405251765863,37.7515249573047
"2",16092097619057,10100,4000,5.15138342525543e-09,37.9,7.75,20.225,48.85,46.275,3.775,19.1534713763703,59519,17.9003021148036,5.27003484320557,72.025,-122.414003178329,37.8079694729269
"3",16094911406113,15900,4332,1.46160491377077e-08,39.5,10.5263157894737,22.5069252077562,52.3776546629732,36.0572483841182,11.3342566943675,20.4291593180482,52479,14.4736842105263,3.5147878268324,66.9667590027701,-122.432914603494,37.7843533426568
"4",16601736506224,31201,7331,1.43153604943064e-08,41.2,13.2314827445096,11.8128495430364,50.7161369526668,16.4643295594053,7.16136952666758,26.0263793423741,80462,11.7550349362926,11.3138686131387,74.955667712454,-122.459212410375,37.724532960995
"5",16604029706374,61500,13057,7.80732053837809e-09,37.2,9.16749636210462,5.34579152944781,46.4961323428046,51.2062495213296,1.24071379336754,14.5181703127825,162690,8.42317536647793,4.39077936333699,85.4867121084476,-122.400316057286,37.790099627367
"6",16609108006372,17601,7834,1.23650702295432e-08,41.1,10.1736022466173,12.6627521062037,41.6900689303038,27.3040592290018,9.95659943834567,25.4984423676012,21154,28.3380137860608,4.00280898876404,77.163645647179,-122.407545855931,37.784401179486
"7",12005827212120,18000,3279,3.49938260528231e-09,37.1,4.91003354681305,3.26318999695029,34.2177493138152,38.8533089356511,15.8584934431229,21.0680321872714,156897,23.2533889468196,6.31043256997455,91.8267764562367,-122.403404791479,37.775420706711
"8",16609315571000,15500,3651,1.17268069289883e-08,50.7,4.71103807176116,35.5519035880581,59.2440427280197,49.8493563407286,3.04026294165982,25.9146341463415,55313,20.2845982142857,5.38702928870293,59.7370583401808,-122.429629258891,37.7848966681924
"9",16616571006244,10500,2684,3.91988997846758e-09,44.8,8.34575260804769,27.2354694485842,50.3353204172876,51.043219076006,5.40238450074516,15.4661953159523,119750,8.53204172876304,6.65387076135637,64.4187779433681,-122.39779964145,37.7944335524161
"10",16616605306244,12700,3860,8.40887450647774e-09,37,11.9430051813472,14.2227979274611,53.2383419689119,79.8186528497409,1.01036269430052,10.7928851371721,131568,4.24870466321244,4.55291222313372,73.8341968911917,-122.44827840533,37.804271887891
"11",16617004806372,47901,6860,5.8802398012193e-09,42.2,16.1953352769679,18.2507288629738,51.5451895043732,41.8513119533528,2.68221574344023,26.4129615674454,67407,10.6625713032032,5.10204081632653,65.5539358600583,-122.511079116635,37.7739918429694
"12",16617049628150,21500,4920,9.9337966804461e-09,39.2,14.7967479674797,7.21544715447155,49.8373983739837,74.9390243902439,3.08943089430894,18.8514659559002,113819,6.54471544715447,4.59413754227734,77.9878048780488,-122.423473589921,37.7462528943017
"13",16619106606372,13000,4788,1.30884733072393e-08,33.4,8.58395989974937,12.719298245614,49.3316624895572,79.281537176274,0,9.34239262314972,151477,4.81171548117155,2.76768241543193,78.6967418546366,-122.433030311668,37.7973462529678
"14",16619295106314,10200,4300,8.25402257866032e-09,38.4,6.95348837209302,20.7209302325581,48.5581395348837,80.7441860465116,0,14.2297650130548,110536,5.46511627906977,2.04447632711621,72.3255813953488,-122.42219944483,37.8064351103515
"15",16620098028150,17802,4856,9.519037580685e-09,41.2,7.88714991762768,7.88714991762768,41.9275123558484,39.0650741350906,13.2207578253707,23.133618640038,69833,24.4788441692466,7.05962988348184,84.2257001647446,-122.411824436943,37.7740104815331
"16",16620178471000,17902,3090,1.11436715529768e-09,25.6,13.2686084142395,1.74757281553398,43.7864077669903,24.6601941747573,19.9676375404531,28.0877742946708,49271,53.414059872183,12.3011015911873,84.9838187702265,-122.365565425353,37.8096707013239
"17",16620217406244,17801,3209,1.49915286627584e-08,64.8,1.68276721720162,49.2676846369586,63.758180118417,30.0093487067622,3.77064506076659,14.1165172855314,17113,36.0548457463384,7.10295291300878,49.0495481458398,-122.399617558782,37.7807906550067
"18",16620305306244,61000,4730,2.17996866740713e-09,35.8,24.8837209302326,11.2050739957717,50.845665961945,14.2706131078224,14.46088794926,23.2743362831858,101667,9.32346723044397,6.70532801739761,63.9112050739958,-122.399766787626,37.7141809476816
"19",16620684706244,16100,5498,1.49038065131541e-08,38.3,9.40341942524554,25.1364132411786,55.7657329938159,23.3721353219353,39.3779556202255,28.9902998236332,23840,29.0833030192797,10.5392156862745,65.4601673335759,-122.431952436364,37.7795647498663
"20",16620687571000,20200,6013,1.77619020999474e-08,37.8,8.41510061533344,13.8034259105272,38.7327457176118,52.5528022617662,3.77515383336105,17.9477325134512,58838,11.7911192416431,8.19338422391857,77.7814734741394,-122.423637302048,37.7648666651043
"21",16621025206244,21200,3098,8.95915246588874e-09,42.2,20.4970948999354,13.0083925112976,50.5487411233054,74.0477727566172,1.09748224661072,10.3419164204306,144886,4.66623460790668,3.1947261663286,66.494512588767,-122.436527482466,37.7535394379488
"22",16621065006372,17700,1791,1.98138553561067e-09,34.2,9.15689558905639,7.70519262981574,38.5817978782803,39.6984924623116,2.2892238972641,22.6775956284153,93056,15.1312116136237,10.4368932038835,83.1379117811279,-122.414224026965,37.7715982798716
