"","tract","pop","pop_den","med_age","p_kids","p_seniors","p_female","p_white","p_black","p_some_college","med_hh_inc","p_poverty","p_unemp","p_working","X","Y"
"1",60400,5554,1.39100239000032e-08,31.7,5.09542671948146,14.5840835433922,51.6384587684552,91.8797263233705,2.77277637738567,12.8371527073616,100112,11.6551852541426,4.62792532211412,80.3204897371264,-71.04451764,42.33337487
"2",803,6351,5.48391709502728e-09,21.3,2.80270823492363,0.708549834671705,58.3215241694221,59.3922216973705,6.83356951661156,2.603928734582,44286,38.2581648522551,11.7962466487936,96.4887419304047,-71.11765003,42.36096452
"3",110401,3873,7.41314371362321e-09,37.8,19.9845081332301,11.3865220759101,56.0547379292538,33.8239091143816,27.9628195197521,29.3169877408056,58864,16.8344952233411,7.12742980561555,68.6289697908598,-71.12658585,42.28788933
"4",81800,3738,9.99675540834938e-09,38.7,25.0401284109149,11.2359550561798,57.972177635099,1.87265917602996,65.4628143392188,25.895087427144,35084,19.3418940609952,18.1864235055724,63.7239165329053,-71.08138427,42.3219484
"5",91100,5318,1.25455069835634e-08,31.3,19.1425347875141,7.35238811583302,48.0631816472358,55.7728469349379,5.35915757803686,14.2661929488931,67150,17.5324675324675,2.93017456359102,73.5050770966529,-71.05292093,42.31327922
"6",92000,5294,1.08098535583727e-08,32.1,26.3883641858708,8.29240649792218,52.8145069890442,6.34680770683793,50.6611258027956,24.7349823321555,46576,29.9430740037951,16.7546638507568,65.319229316207,-71.06424768,42.29990887
"7",30500,2665,1.37600783202385e-08,31.8,6.64165103189493,14.1463414634146,58.2363977485929,89.0806754221388,0.0375234521575985,7.02554744525547,101910,6.0594512195122,2.59351620947631,79.2120075046904,-71.05242015,42.36510011
"8",100500,7350,8.55708816001746e-09,33,26.734693877551,9.75510204081633,50.4489795918367,12.2176870748299,63.4965986394558,25.0581026832876,51938,28.2733224222586,11.2839441075666,63.5102040816327,-71.06530713,42.28870235
"9",91500,4873,1.20569366592856e-08,33,19.577262466653,8.65996306176893,51.3441411861276,11.2456392366099,36.9177098296737,24.7194419168941,48678,20.4391545249333,11.1187371310913,71.7627744715781,-71.0665094,42.31200743
"10",130404,3209,1.96051549888613e-09,45.3,16.0797756310377,22.5615456528514,53.7862262387036,60.6107821751324,6.69990651293238,25.0099720781811,62208,4.24281984334204,10.3196859226024,61.3586787161109,-71.15932968,42.26066513
