"","tract","pop","pop_den","med_age","p_kids","p_seniors","p_female","p_white","p_black","p_some_college","med_hh_inc","p_poverty","p_unemp","p_working","X","Y"
"1",7408,3607,9.58351518653421e-09,31.3,29.8586082617133,4.96257277515941,50.485167729415,1.44164125311894,93.4294427502079,19.4681861348528,21735,53.2754010695187,25.9541984732824,65.1788189631273,-76.9692428033268,38.8517520407642
"2",2202,3845,5.53613213235755e-09,32.1,24.4733420026008,8.71261378413524,47.5422626788036,6.26788036410923,60.0780234070221,20.979020979021,53073,21.1443433029909,13.8513513513514,66.814044213264,-77.0089661948401,38.9517304864354
"3",5500,6780,1.06147319100278e-08,33.9,4.91150442477876,11.9911504424779,51.5634218289086,73.0678466076696,5.81120943952802,5.43985637342908,77808,18.5786491039975,2.38500851788756,83.0973451327434,-77.043619521706,38.9099331418825
"4",801,6740,2.29041805912375e-09,42.7,16.7359050445104,19.3175074183976,51.5430267062315,75.459940652819,6.88427299703264,8.09054235768714,145592,12.1212121212121,7.41466144376049,63.946587537092,-77.0916442193527,38.9302641723363
"5",7000,2834,6.69418754089058e-09,31.3,10.726887791108,9.06845448129852,42.060691601976,66.8666196189132,10.5504587155963,4.18604651162791,121354,4.64504820333041,4.20988407565589,80.2046577275935,-76.9926493268424,38.880276497619
"6",5301,4990,1.74233240908977e-08,32.4,6.49298597194389,6.69338677354709,51.8637274549098,76.1122244488978,2.54509018036072,3.37264150943396,89340,9.35049266036598,2.22615734884898,86.813627254509,-77.0384908076308,38.9137274559942
"7",7504,2903,3.6441561927859e-09,27.6,31.4502239063038,3.85807785049948,56.3554943162246,0.826730967964175,99.1732690320358,23.9462431276726,18618,42.8076256499133,21.0770659238626,64.6916982431967,-76.984251953169,38.860529239362
"8",8904,3338,7.42862535201099e-09,35.8,18.274415817855,8.02875973636908,54.2540443379269,6.38106650689035,78.93948472139,26.3967611336032,28949,26.3031755542241,14.6996838777661,73.6968244457759,-76.973280330875,38.8989210137574
"9",8002,3437,5.92966326324273e-09,35.8,15.5077102123945,8.46668606342741,49.9563572883328,60.6633692173407,29.0078556881001,11.8073161897863,114000,5.80682812955938,6.66086199390509,76.0256037241781,-76.9798884565606,38.8898058681744
"10",1200,4950,4.06321761809977e-09,37.3,17.1313131313131,12.1818181818182,52.1212121212121,75.010101010101,6.22222222222222,9.00287882753206,105000,3.63636363636364,2.62836185819071,70.6868686868687,-77.0619678039197,38.9414990121051
"11",3000,3356,1.59325771693912e-08,30.8,15.792610250298,9.44576877234803,51.6984505363528,41.030989272944,45.7985697258641,12.6144050935137,77609,24.2451420029895,9.13729128014842,74.761620977354,-77.028499519053,38.9276932266556
"12",2802,4514,1.96520921770578e-08,30.3,20.181657066903,9.19361984935755,53.7882144439522,24.5901639344262,24.5680106335844,9.30802204531537,57652,23.5950044603033,7.80356542213253,70.6247230837395,-77.0327328490334,38.9295208052423
"13",10200,2552,2.05079233868759e-09,38.4,8.8166144200627,17.358934169279,56.230407523511,41.3793103448276,39.615987460815,14.9110807113543,101250,5.99605522682446,5.80281690140845,73.8244514106583,-77.0164130178365,38.8764650242789
