"","tract","pop","pop_den","med_age","p_kids","p_seniors","p_female","p_white","p_black","p_some_college","med_hh_inc","p_poverty","p_unemp","p_working","X","Y"
"2",11500,3380,1.92498854973527e-08,33.8,7.36686390532544,3.90532544378698,38.7573964497041,38.0177514792899,9.31952662721894,8.49171047310958,95425,18.5922185922186,6.44095788604459,88.7278106508876,-73.990501248,40.756266207
"3",20600,3142,2.11230374814955e-08,34.6,22.8516868236792,8.91152132399745,46.8491406747295,10.471037555697,59.7071928707829,27.6575276575277,35795,26.3715110683349,8.64453665283541,68.2367918523234,-73.937644103,40.809859893
"4",1800,7991,3.58390245261021e-08,37.1,8.14666499812289,12.7268176698786,40.6957827556,29.8335627581029,4.66775122012264,10.6873977086743,61750,25.1952108276939,6.44308943089431,79.1265173319985,-73.9894242,40.719711494
"5",4800,7147,4.06643874733613e-08,35.3,6.70211277459074,14.1318035539387,56.9189869875472,66.5733874352875,4.50538687561215,16.3814180929095,112500,8.91369543485505,7.24381625441696,79.1660836714705,-73.982563257,40.73137039
"6",12500,2501,1.43526437287401e-08,32.2,4.27828868452619,6.07756897241104,43.4626149540184,56.6173530587765,1.47940823670532,7.11896798853321,152569,8.4766093562575,2.77372262773723,89.6441423430628,-73.9859271,40.760585967
"7",11900,996,5.60841132547695e-09,62,0,36.0441767068273,28.8152610441767,29.0160642570281,35.2409638554217,20.281124497992,12903,50.2008032128514,18.1592039800995,63.9558232931727,-73.983625334,40.755524354
"8",12100,7917,4.44374651436792e-08,40.8,5.65870910698497,15.1193633952255,43.7918403435645,67.3487432108122,6.45446507515473,16.4786585365854,64303,10.142730832386,8.66977641949493,79.2219274977896,-73.988844106,40.758541452
"9",2201,6546,4.04907318848737e-08,40.3,9.33394439352276,13.8863428047663,52.8108768713718,14.8029330889093,17.1249618087382,14.2227333716695,33700,29.1129527317373,13.9205420388051,76.779712801711,-73.979745736,40.71803315
"10",3001,4167,3.35631774682971e-08,30.1,6.76745860331174,3.26373890088793,48.7880969522438,53.4437245020398,1.72786177105832,9.051856397668,71591,17.1147383581373,8.77086494688923,89.9688024958003,-73.98794868,40.719963868
"11",12700,6681,3.83908840382127e-08,40.9,2.27510851668912,8.30713964975303,40.9070498428379,55.3958988175423,3.27795240233498,13.9165681472724,71772,10.1182457715911,4.41529650840569,89.4177518335578,-73.987703177,40.760105841
"12",24302,7601,3.56421698891132e-08,31.1,30.167083278516,11.1301144586239,63.215366399158,0.249967109590843,52.3615313774503,23.2,18345,49.2627698788836,27.6581649552832,58.7028022628602,-73.936052486,40.830905528
"13",9000,7760,4.44212818752808e-08,36.2,7.87371134020619,15.5670103092784,51.3788659793814,64.1365979381443,2.33247422680412,8.32575068243858,130232,5.48969072164948,1.51094129906217,76.5592783505155,-73.969185569,40.751892841
"14",16400,7260,4.09273065354931e-08,35.2,20.3443526170799,11.4738292011019,56.8457300275482,14.3250688705234,16.4738292011019,20.0231704962348,32347,26.5977961432507,10.7181719260065,68.1818181818182,-73.945565445,40.788586771
