"","tract","pop","pop_den","med_age","p_kids","p_seniors","p_female","p_white","p_black","p_some_college","med_hh_inc","p_poverty","p_unemp","p_working","X","Y"
"1",39000,9285,4.56784433750345e-09,24.4,40.6031233171782,5.4281098546042,51.8470651588584,10.974690360797,59.9138395261174,28.433734939759,31063,36.669948583306,27.2682687591957,53.9687668282176,-75.09958418,40.02849021
"2",33500,4090,4.33717286127811e-09,34.8,26.8948655256724,15.8679706601467,56.8215158924205,44.3520782396088,13.5941320293399,24.8757984386089,52279,25.4772393538913,14.8706896551724,57.2371638141809,-75.06740122,40.05871286
"3",36201,4778,4.56298214249912e-09,40.4,16.8689828380075,17.7270824612809,50.7534533277522,84.1984093763081,8.66471326915027,26.9920044113593,55927,5.29968454258675,8.19099378881988,65.4039347007116,-74.98931043,40.07902872
"4",36203,5472,3.54515739928077e-09,38.5,23.9035087719298,15.4605263157895,50.4020467836257,90.6615497076023,0.127923976608187,27.7272727272727,68785,6.4875730994152,6.64760543245175,60.6359649122807,-74.98161359,40.06960921
"5",3600,7379,7.65025658363926e-09,33.3,30.4919365767719,12.7795094186204,52.6900664046619,14.0262908253151,62.2442065320504,24.0245506356861,18969,44.6753599565335,19.827895302976,56.7285540046077,-75.18946248,39.92699265
"6",3901,6234,1.48289245561765e-08,38.2,13.4744947064485,11.9185113891562,46.4709656721206,63.9076034648701,10.5710619185114,24.6221161495625,34759,19.9646359106253,5.11640498105035,74.6069939043953,-75.17471535,39.92506903
"7",3701,6255,1.75890335026698e-08,33.3,25.5795363709033,7.88169464428457,56.5307753796962,10.6634692246203,75.2198241406875,33.7144247141815,33887,33.4188994063854,20.5623306233062,66.5387689848122,-75.18224207,39.9284584
"8",14700,2952,8.7421405846229e-09,22,9.5189701897019,1.05013550135501,48.949864498645,33.0962059620596,49.5257452574526,38.560157790927,12460,58.1123244929797,8.8646967340591,89.4308943089431,-75.16221986,39.9778038
"9",15101,2317,1.20006357550441e-08,30.4,22.7880880448856,9.88347000431592,49.3741907639189,2.46007768666379,89.7280966767372,21.0893854748603,30051,47.3292469352014,14.3377885783718,67.3284419507984,-75.18375348,39.98922564
"10",13700,4805,8.14774622231086e-09,34.9,20.3746097814776,11.3839750260146,57.4817898022893,20.3746097814776,73.8397502601457,25.8358662613982,39696,24.7242455775234,10.4501607717042,68.2414151925078,-75.18283517,39.97453479
"11",16800,3605,6.20342132703681e-09,39,24.4660194174757,11.4563106796117,55.8391123439667,4.24410540915395,94.8404993065187,18.6544342507645,17250,42.0172750069657,17.4539631705364,64.0776699029126,-75.16890043,39.98928957
"12",14600,4097,9.20574955111854e-09,20.8,9.20185501586527,15.2550646814743,57.1637783744203,35.6602391994142,47.010007322431,25.2625077208153,28558,30.1220025241902,10.8745247148289,75.5430803026605,-75.15638644,39.97554564
"13",32000,6237,9.16222691732023e-09,35.9,20.618887285554,11.8165784832451,50.376783710117,62.3697290363957,11.7684784351451,21.1574074074074,41074,10.2453102453102,8.08666463228563,67.5645342312009,-75.05211488,40.02657704
"14",30900,4427,6.86485833143285e-09,30.7,27.3096905353513,7.81567653038175,51.8409758301333,15.6765303817484,33.5667494917551,22.2177901874751,42716,25.3444770725096,11.5074309978769,64.874632934267,-75.08329007,40.0415585
"15",31102,4364,1.0961831532332e-08,27.2,32.057745187901,5.13290559120073,57.8826764436297,9.02841429880843,58.8680109990834,28.7510841283608,37926,17.0714940421632,13.0853391684902,62.8093492208983,-75.08494908,40.03494299
"16",30501,5939,1.57375815581284e-08,26.6,33.9451086041421,5.03451759555481,52.0626368075434,17.8481225795588,53.2917999663243,26.2496070418108,30921,37.1250421300977,17.0192611304073,61.0203738003031,-75.09837472,40.04344945
"17",36600,1945,8.00150565874687e-10,38.7,6.94087403598972,16.9665809768638,51.3624678663239,66.8380462724936,8.22622107969152,17.4037909247559,101447,7.17255717255717,6.04356992269852,76.0925449871465,-75.14612556,39.93128806
"18",21800,4358,4.37512193908079e-09,31.7,17.6227627351996,10.5094079853144,54.9793483249197,61.2666360715925,23.7494263423589,18.7578027465668,50135,25.9752179899036,9.96771589991929,71.867829279486,-75.23568462,40.06034779
"19",17602,4267,1.06553026060605e-08,23.7,40.2624794937895,4.82774783220061,49.1680337473635,6.39793766112022,8.24935551910007,14.3272023233301,18329,61.752798285306,21.9686162624822,54.9097726740098,-75.12942115,39.99799084
"20",19501,4437,1.12647573605348e-08,30.6,27.4735181428893,9.19540229885057,58.1924723912554,3.74126662159117,9.263015551048,18.5607550137633,14451,49.0058743786715,27.2413793103448,63.3310795582601,-75.1353554,40.0009869
"21",19700,6843,1.5186906085444e-08,27.4,31.6820108139705,10.6386087973111,57.8255151249452,3.2295776706123,39.0472015198013,17.1585270305563,19685,47.143065906766,28.0832678711705,57.6793803887184,-75.13648462,40.01212228
"22",402,3202,1.05440246728491e-08,53.5,0.811992504684572,34.3535290443473,61.367895065584,84.4784509681449,5.55902560899438,16.0220994475138,70038,4.93441599000625,2.01912858660999,64.8344784509681,-75.16393015,39.95350876
"23",803,3569,2.33541899576834e-08,34.5,5.91202017371813,24.7688428131129,60.4931353320258,82.7402633790978,0.476323900252171,4.40271932664293,60915,9.69459232277949,3.10146211785556,69.319137013169,-75.173097,39.94904198
"24",6300,4264,7.67462780292839e-09,29.8,28.8227016885553,5.41744840525328,47.7251407129456,4.9484052532833,73.1707317073171,28.3165244375485,25871,40.4565780183573,29.1894852135816,65.7598499061914,-75.23312533,39.92451
"25",33102,3628,5.044013894234e-09,38,21.361631753032,15.9040793825799,54.9062844542448,83.7927232635061,7.35942668136714,17.6891230711329,48603,13.9470782800441,7.61363636363636,62.7342888643881,-75.03057259,40.04433735
"26",29900,4157,7.02853531554684e-09,28.4,31.5371662256435,6.35073370218908,60.6206398845321,21.0247774837623,47.3658888621602,17.8524661719773,18206,46.2436177972283,23.4875444839858,62.1121000721674,-75.07146194,40.01592842
